"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mir3068",0.280550388656331,-1.42033905439437,4.04033632811167,-0.351539807345244,0.725183413758546,NA
"Nrp",2.06872117982338,-4.30377648490386,2.07943353922008,-2.06968696220897,0.0384816684629703,NA
"Slirp",371.714670677236,0.245874218305719,0.187995875012909,1.30787028326465,0.190917310384023,0.451359058464251
"Snw1",808.441528528141,0.0597574246297128,0.130609010800505,0.457529111226387,0.647290782978304,0.833822888823572
"Adck1",347.470144168663,0.0367948898364859,0.167103626706065,0.220192048262412,0.825721589233608,0.925939905753922
"Nrxn3",4.10541588145383,-2.09709276125082,1.43258044649763,-1.46385689290803,0.143233053671762,0.381503389340417
"Dio2",0.419308947576236,-1.9993434384902,3.92352759518366,-0.509578023853969,0.610347123233279,NA
"Cep128",34.0404163910436,-0.29629156856325,0.437500513793502,-0.67723707566455,0.498255547624331,0.739508144688243
"Mir669c",0.202222896723305,1.37153488662712,4.0804728567969,0.336121556192325,0.736779203650581,NA
"Gtf2a1",278.471785300609,-0.121174368657249,0.179431132135608,-0.675325219291763,0.499469164631129,0.74001815260907
"Ston2",312.249536631224,0.168571062367455,0.199446784547136,0.845193181480528,0.398002988696985,0.66443283042175
"Sel1l",3341.2278692751,0.413681435170597,0.12669673481415,3.26513098997715,0.00109413465320741,0.0125755460501047
"Flrt2",20.598713730613,-1.54257084086562,0.61728112527405,-2.49897620015642,0.0124552675585165,0.0776744864927494
"Galc",254.105672992278,-0.536047254549255,0.198171114336458,-2.70497169248969,0.00683102103138424,0.0499955573906762
"Gpr65",149.82219454456,-0.266026047121085,0.449769126520515,-0.591472449830215,0.554203909301293,0.775402901834491
"Kcnk10",40.014763352249,0.337207752757579,0.634076841061499,0.53180897159572,0.594858308405898,0.800230518199907
"Spata7",37.5866599855601,0.440498165643587,0.417835391577683,1.05423852196994,0.291773727474666,0.569185191979807
"Ptpn21",500.823947056358,-0.441539782765266,0.183929058794114,-2.40059828316479,0.01636829453897,0.0947474970352061
"Zc3h14",1061.25213784504,0.0569744618674898,0.183930845386859,0.309760234873363,0.756743293170617,0.89203568206287
"Eml5",33.781453456921,0.172994543935849,0.429073950450116,0.40318118532801,0.686814939709969,0.856253925617245
"Ttc8",114.200389940239,0.214412267962795,0.28186474267343,0.760692046579284,0.446841026422279,0.701843776823973
"Foxn3",283.446597272288,0.339495660258434,0.211589376944365,1.60450238646764,0.108603358849895,0.323714617551128
"Efcab11",6.6337538235466,-2.60586293534722,1.21425125044621,-2.14606567989089,0.0318677389499412,0.148131623460739
"Tdp1",91.0245784384961,-0.24018393445621,0.274577276325913,-0.874740756664512,0.381714978593608,0.64869873402583
"Kcnk13",71.6904120535095,-0.953440905338983,0.423822004360614,-2.24962577574839,0.0244727108083689,0.1244147532579
"Psmc1",2476.07081389061,0.353578133479055,0.116625067450491,3.03175073085514,0.0024313989721442,0.023149045084689
"Nrde2",266.685078580554,0.0400059443692832,0.16442426120687,0.243309254216139,0.807765835943394,0.917547060223106
"Gm10433",6.93456755512723,2.1477100495157,0.915932047949882,2.3448355741268,0.0190354721858587,0.104778394373694
"Calm1",6252.30204305593,0.437155600617833,0.194886547661372,2.24312866056522,0.0248885189684684,0.125420326909851
"Gm10432",0.14592354427664,-0.552018465015374,4.0804728567969,-0.135282964594623,0.892388153537816,NA
"Ttc7b",403.000507376768,0.696430293625,0.185498475159593,3.75437206707941,0.000173776573051089,0.0029441604068691
"Rps6ka5",36.3049872444194,-0.00138024230008399,0.410693539111892,-0.00336075971165435,0.997318506761283,0.998640983924078
"9030617O03Rik",895.193404564378,0.036888339195532,0.162116494490483,0.227542171519737,0.820002180964981,0.923997751680304
"Gpr68",15.5521432709073,0.4566565027158,0.651192952509671,0.701261432507623,0.483139877831753,0.727882517710159
